State name,CD,Turnout
Missouri,2,65.30873803
Missouri,3,53.8546789
Missouri,4,50.14591614
Missouri,5,49.45928282
Missouri,6,52.34473149
Missouri,7,49.7776039
Missouri,8,46.57232389
Montana,a,61.24081547
Nebraska,1,49.56573692
Nebraska,2,53.20410842
Nebraska,3,48.52858537
Nevada,1,36.34121358
Nevada,2,54.10027301
Nevada,3,47.07368629
Nevada,4,45.4333196
New Hampshire,1,53.87376348
New Hampshire,2,52.81558495
New Jersey,1,48.59805842
New Jersey,2,48.6248892
New Jersey,3,53.81166312
New Jersey,4,54.54494916
New Jersey,5,57.17080988
New Jersey,6,44.0221469
New Jersey,7,61.23253573
New Jersey,8,36.05581714
New Jersey,9,41.62334709
New Jersey,10,40.35048816
New Jersey,11,58.96736852
New Jersey,12,49.90774853
New Mexico,1,48.40211743
New Mexico,2,41.10897005
New Mexico,3,48.21611043
New York,1,51.73611897
New York,2,47.66127829
New York,3,52.4005487
New York,4,52.75689743
New York,5,37.1325112
New York,6,33.37462199
New York,7,36.94228545
New York,8,37.87370991
New York,9,42.68895826
New York,10,45.67113371
New York,11,38.94227123
New York,12,48.32400444
New York,13,39.04927297
New York,14,37.27643872
New York,15,32.59659363
New York,16,45.42723129
New York,17,51.15151105
New York,18,49.83494574
New York,19,53.01844096
New York,20,49.72014406
New York,21,43.37451456
New York,22,47.29004499
New York,23,45.15520673
New York,24,49.12142898
New York,25,50.69744601
New York,26,44.90896693
New York,27,51.93193275
North Carolina,1,48.16107444
North Carolina,2,55.17897602
North Carolina,3,32.42445264
North Carolina,4,54.63899212
North Carolina,5,48.9566473
North Carolina,6,50.11702668
North Carolina,7,46.01587586
North Carolina,8,43.91179867
North Carolina,9,0
North Carolina,10,47.55205075
North Carolina,11,49.73755387
North Carolina,12,47.16419726
North Carolina,13,49.42669617
North Dakota,a,56.6725008
Ohio,1,55.54251008
Ohio,2,51.91327148
Ohio,3,43.97384498
Ohio,4,47.41523816
Ohio,5,51.64456972
Ohio,6,45.71063186
Ohio,7,46.79385448
Ohio,8,47.79101986
Ohio,9,42.49884104
Ohio,10,50.98983917
Ohio,11,47.76268428
Ohio,12,58.30750589
Ohio,13,44.89303146
Ohio,14,55.51305114
Ohio,15,49.89711513
Ohio,16,54.1661546
Oklahoma,1,44.74472086
Oklahoma,2,38.28376872
Oklahoma,3,40.94472073
Oklahoma,4,40.12840384
Oklahoma,5,42.57434386
Oregon,1,59.92250057
Oregon,2,59.54737349
Oregon,3,61.22609588
Oregon,4,58.39701949
Oregon,5,59.10229291
Pennsylvania,1,60.52894321
Pennsylvania,2,40.68034883
Pennsylvania,3,54.55020439
Pennsylvania,4,61.24276516
Pennsylvania,5,58.60076195
Pennsylvania,6,57.72061073
Pennsylvania,7,47.68547198
Pennsylvania,8,46.37463958
Pennsylvania,9,44.78916828
Pennsylvania,10,52.65078397
Pennsylvania,11,50.14451702
Pennsylvania,12,44.258124
Pennsylvania,13,46.46136292
Pennsylvania,14,47.43361323
Pennsylvania,15,44.39761946
Pennsylvania,16,48.6179615
Pennsylvania,17,58.21343322
Pennsylvania,18,42.51951726
Rhode Island,1,44.02605909
Rhode Island,2,48.86255482
South Carolina,1,46.81990253
South Carolina,2,47.85388077
South Carolina,3,42.29914805
South Carolina,4,45.72350726
South Carolina,5,45.01228617
South Carolina,6,40.72918044
South Carolina,7,41.92199192
South Dakota,a,51.9194423
Tennessee,1,39.77209452
Tennessee,2,44.95863176
Tennessee,3,43.00681067
